Taxy-Pro2	1.31048327717	1.24220431605	1.30583831915	1.2889244903	1.32353038848	1.80376843321	1.53873169061	1.29587860948
Taxy-Pro1	1.29396650343	1.20295836906	1.28097246124	1.27529822124	1.30166626508	1.79993678572	1.52795689784	1.27385043884
Quickr	1.45473502498	1.43340476692	1.46965060592	1.47932253956	1.51506995859	1.54846298424	1.65035657035	1.47226676145
CLARK	1.05438197401	1.20755688024	1.06147649585	1.04006377174	1.1171805274	1.75321650484	1.24633275293	1.11131728829
FOCUS	1.16681233518	1.24599599162	1.14106433512	1.12846940003	1.22166820711	1.73782144958	1.47620412617	1.16537346921
CommonKmers	1.18872049942	1.0782099709	1.18826262173	1.14364872835	1.21634802382	1.74442244389	1.27042305612	1.22746581732
metalign	0.380558744844	0.418403656325	0.392816967701	0.398279123842	0.43918151635	0.583607031003	0.991824021698	0.39602363306
Metaphlan2	1.41932700713	1.18445132679	1.46871147638	1.48469194515	1.44736102091	1.6585352586	1.29533616059	1.45986083748
TIPP	1.14021966695	0.981784664194	1.17076377299	1.14052919393	1.20392948985	1.76007110547	1.30159323845	1.18322551097
mOTU	1.37136651167	1.27513098422	1.35288985222	1.33590043228	1.34531775321	1.7756579417	1.44471112665	1.38510550035
Metaphyler	1.06437939232	0.941795172607	1.11079560243	1.0760583812	1.12071750936	1.74371574281	1.38037086662	1.10709674309
