Taxy-Pro2	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
Taxy-Pro1	1.98253510344	1.98331137845	1.79503245229	1.98173175891	1.99030927201	1.93538582678	1.84677477474	1.9852590572
Quickr	1.96462931933	1.96270039535	1.79597204292	1.97127106119	1.97198452246	1.81586791725	1.92710996981	1.97302734783
CLARK	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
metalign_default	1.7756913205	1.77544536074	1.54386320393	1.77168721844	1.78498048142	1.57907276389	1.67144778373	1.76715400497
metalign_sensitve	1.78030133102	1.77653988905	1.5483310258	1.7729900754	1.78251213674	1.57906659617	1.6917639543	1.7724776579
FOCUS	2.0	2.0	1.8397860692	2.0	2.0	1.96545573077	1.84595436556	2.0
CommonKmers	1.95475838412	1.9620463117	1.76705436418	1.95488830392	1.95759471648	1.93409326146	1.7701032627	1.94970532995
mOTU	1.98481098419	1.98645551939	1.78704064954	1.98602881	1.98905701608	1.93463094646	1.82995982004	1.99108564364
Metaphlan2	1.96725308255	1.97054980127	1.76847658354	1.96372293217	1.97902466172	1.93409326146	1.77342306378	1.96054698095
TIPP	1.976005942	1.97572243097	1.80875164541	1.97161712267	1.98129973236	1.93463094646	1.87187604401	1.96902649851
Metaphyler	1.97439944047	1.97481776207	1.81401198429	1.970818737	1.98213379567	1.93463094646	1.87330266428	1.96944098448
metalign_precise	1.82060920136	1.81710056134	1.54819883302	1.81715207948	1.82111515854	1.58068411454	1.67550006145	1.81196825435
